idshopi,id_variant,sku_variant,barcode_shopi,inventoryquantity_shopi,inventoryitemid,inventorylevelsid,id_products,title_shopi,tags_shopi,vendor_shopi,status_shopi,published_shopi,sku_shopi,sku,tags,sku.1,margen_db,costo_db,margen_comparacion_db,duplicate,pausa,precio,precio_comparacion
8964988371221,gid://shopify/ProductVariant/47788336546069,KL6148881,7704372075392,3,gid://shopify/InventoryItem/49764908400917,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49764908400917,8964988371221,Toallero Barra Kalmia,"['Accesorios Baño', 'Baños']",Pamo,ACTIVE,ACTIVE,KL6148881,KL6148881,MercadoLibre,KL6148881,0.0,0,0.0,,,0.0,0.0
8964986274069,gid://shopify/ProductVariant/47788248105237,PS6018881,PS6018881,1,gid://shopify/InventoryItem/49764819960085,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49764819960085,8964986274069,Toallero Barra Parisa,"['Accesorios Baño', 'Baños']",Pamo,ACTIVE,ACTIVE,PS6018881,PS6018881,MercadoLibre,PS6018881,0.0,0,0.0,,,0.0,0.0
8545626390805,gid://shopify/ProductVariant/46227395576085,TO6050001,7706157677227,0,gid://shopify/InventoryItem/48281617891605,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281617891605,8545626390805,Toallero Aro Cromado Acero Inoxidable,"['Accesorios Baño', 'Baños']",PAMO,ACTIVE,ACTIVE,TO6050001,TO6050001,MercadoLibre,TO6050001,0.0,0,0.0,,,0.0,0.0
8545626358037,gid://shopify/ProductVariant/46227395543317,TO6040001,7706157677210,1,gid://shopify/InventoryItem/48281617858837,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281617858837,8545626358037,Toallero Barra Baño Acero Inoxidable Cromado,"['Accesorios Baño', 'Baños']",PAMO,ACTIVE,ACTIVE,TO6040001,TO6040001,MercadoLibre,TO6040001,0.0,0,0.0,,,0.0,0.0
8545626521877,gid://shopify/ProductVariant/46227397116181,TOA_01,TOA_01,11,gid://shopify/InventoryItem/48281619431701,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281619431701,8545626521877,Toallero Largo Base Cuadrada 55 cm,"['Accesorios Baño', 'Baños']",PAMO,ACTIVE,ACTIVE,TOA_01,TOA_01,MercadoLibre,TOA_01,0.0,0,0.0,,,0.0,0.0
8545626554645,gid://shopify/ProductVariant/46227397148949,TOA_02,TOA_02,5,gid://shopify/InventoryItem/48281619464469,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281619464469,8545626554645,Toallero Largo Moderno Con Base Redonda Negro Mate,"['Accesorios Baño', 'Baños', 'toallero']",PAMO,DRAFT,DRAFT,TOA_02,TOA_02,MercadoLibre,TOA_02,0.0,0,0.0,,,0.0,0.0
8120327078165,gid://shopify/ProductVariant/47926219735317,YW150,7707180678281,0,gid://shopify/InventoryItem/49903444918549,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903444918549,8120327078165,Dispensador De Toallas Color Crema,"['Accesorios Baño', 'Baños']",BOCCHERINI,ACTIVE,ACTIVE,YW150,YW150,MercadoLibre,YW150,0.0,0,0.0,,,0.0,0.0
8641937244437,gid://shopify/ProductVariant/46477852082453,GRIDISP-01,GRIDISP-01,0,gid://shopify/InventoryItem/48532612186389,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48532612186389,8641937244437,Dispensador Papel Higiénico en Acero,"['Dispensadores', 'Institucional', 'Papel Higiénico']",Pamo,DRAFT,DRAFT,GRIDISP-01,GRIDISP-01,MercadoLibre,GRIDISP-01,0.0,0,0.0,,,0.0,0.0
8120267866389,gid://shopify/ProductVariant/45091587916053,F1044A,F1044A,0,gid://shopify/InventoryItem/47144399175957,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47144399175957,8120267866389,Dispensador De Papel En Acero Inoxidable Pamo,"['Dispensadores', 'Institucional', 'Papel Higiénico']",Pamo,ACTIVE,ACTIVE,F1044A,F1044A,MercadoLibre,F1044A,0.0,0,0.0,,,0.0,0.0
8107302322453,gid://shopify/ProductVariant/45152015319317,31600400,7528530100708,1,gid://shopify/InventoryItem/47204936352021,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204936352021,8107302322453,Dispensador De Papel Higiénico Acero Inoxidable.,"['Dispensadores', 'Institucional', 'Papel Higiénico']",Pamo,ACTIVE,ACTIVE,31600400,31600400,MercadoLibre,31600400,0.0,0,0.0,,,0.0,0.0
8545599291669,gid://shopify/ProductVariant/46227315720469,HC9721,HC9721,8,gid://shopify/InventoryItem/48281537904917,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281537904917,8545599291669,Dispensador Toallas Papel Tipos Z Alta Resistencia Negro,"['Dispensadores', 'Institucional', 'Jabón Liquido']",PAMO,ACTIVE,ACTIVE,HC9721,HC9721,MercadoLibre,HC9721,0.0,0,0.0,,,0.0,0.0
8545593819413,gid://shopify/ProductVariant/47957934539029,DT05FX,DT05FX,0,gid://shopify/InventoryItem/49935711174933,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49935711174933,8545593819413,Dispensador De Papel Semi automático Azul+Blanco,"['Dispensadores', 'Institucional', 'Jabón Liquido', 'PAPEL HIGIÉNICO']",FENIXCOL,DRAFT,DRAFT,DT05FX,DT05FX,MercadoLibre,DT05FX,0.0,0,0.0,,,0.0,0.0
8578791473429,gid://shopify/ProductVariant/46348163940629,473310,63940629,0,gid://shopify/InventoryItem/48402785141013,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48402785141013,8578791473429,Kit Dispensador Jabón+Dispensador Toallas y Papel,"['Dispensadores', 'Institucional', 'KIT', 'Papel Higiénico']",KIT,ACTIVE,ACTIVE,473310,473310,MercadoLibre,473310,0.0,0,0.0,,,0.0,0.0
